CPU,NUMERO_ITERACION,LATENCIA
0,0,24990
0,1,15435
0,2,12379
0,3,21916
0,4,56157
0,5,17694
0,6,15676
0,7,15657
0,8,15472
0,9,16750
0,10,16398
0,11,14528
0,12,12009
0,13,14398
0,14,11064
0,15,15657
0,16,15305
0,17,21935
0,18,15676
0,19,16027
0,20,20083
0,21,18287
0,22,13009
0,23,25194
0,24,18305
0,25,15064
0,26,13732
0,27,24213
0,28,74268
0,29,24194
0,30,27194
0,31,25194
0,32,23528
0,33,37416
0,34,18213
0,35,16601
0,36,17046
0,37,18157
0,38,21509
0,39,11750
0,40,14898
0,41,15305
0,42,15676
0,43,11695
0,44,12990
0,45,13546
0,46,22583
0,47,22231
0,48,12102
0,49,13286
0,50,10824
0,51,11324
0,52,11712
0,53,12990
0,54,57119
0,55,25620
0,56,27639
0,57,15713
0,58,10861
0,59,16101
0,60,54842
0,61,26842
0,62,18657
0,63,12842
0,64,17527
0,65,40231
0,66,43842
0,67,44472
0,68,16454
0,69,13898
0,70,10675
0,71,10860
0,72,16509
0,73,25361
0,74,21472
0,75,17732
0,76,17046
0,77,13546
0,78,13324
0,79,13065
0,80,10769
0,81,14324
0,82,15527
0,83,13768
0,84,11361
0,85,14453
0,86,18083
0,87,13268
0,88,11639
0,89,12009
0,90,14268
0,91,10917
0,92,14824
0,93,13027
0,94,12083
0,95,17120
0,96,39601
0,97,36490
0,98,18490
0,99,19416
0,100,30416
0,101,21231
0,102,13732
0,103,32527
0,104,26083
0,105,16731
0,106,13305
0,107,12546
0,108,12342
0,109,15750
0,110,36879
0,111,22102
0,112,14064
0,113,23750
0,114,23990
0,115,15658
0,116,13731
0,117,17935
0,118,11712
0,119,13305
0,120,12712
0,121,13306
0,122,12694
0,123,17453
0,124,33213
0,125,28657
0,126,17213
0,127,11843
0,128,11546
0,129,28768
0,130,18676
0,131,17953
0,132,20028
0,133,28064
0,134,20565
0,135,15268
0,136,19453
0,137,17379
0,138,13250
0,139,12287
0,140,16916
0,141,16565
0,142,13453
0,143,14342
0,144,16954
0,145,13953
0,146,13842
0,147,14323
0,148,13639
0,149,14472
0,150,15157
0,151,16046
0,152,35861
0,153,13879
0,154,12361
0,155,10343
0,156,14046
0,157,15787
0,158,10787
0,159,11917
0,160,12509
0,161,11657
0,162,12009
0,163,17861
0,164,14009
0,165,15417
0,166,13509
0,167,12565
0,168,11657
0,169,11491
0,170,10713
0,171,11009
0,172,17805
0,173,14250
0,174,14528
0,175,12231
0,176,13731
0,177,11972
0,178,10824
0,179,12083
0,180,15916
0,181,11583
0,182,11138
0,183,10953
0,184,12750
0,185,11676
0,186,11823
0,187,12268
0,188,12361
0,189,13546
0,190,20083
0,191,18490
0,192,13102
0,193,12805
0,194,15972
0,195,14768
0,196,14398
0,197,21564
0,198,17953
0,199,14009
0,200,12046
0,201,13120
0,202,19639
0,203,16509
0,204,11232
0,205,14935
0,206,22731
0,207,21083
0,208,39583
0,209,26527
0,210,21861
0,211,17879
0,212,14212
0,213,14286
0,214,11676
0,215,16694
0,216,13028
0,217,13342
0,218,14102
0,219,10879
0,220,11268
0,221,22250
0,222,17305
0,223,13880
0,224,10917
0,225,16195
0,226,17824
0,227,16768
0,228,16064
0,229,21602
0,230,17232
0,231,26491
0,232,17046
0,233,26564
0,234,38379
0,235,22213
0,236,21027
0,237,14750
0,238,19694
0,239,26175
0,240,22972
0,241,25175
0,242,17397
0,243,25268
0,244,40102
0,245,22250
0,246,13249
0,247,12953
0,248,18194
0,249,21101
0,250,16602
0,251,12231
0,252,11157
0,253,10639
0,254,11121
0,255,13120
0,256,18176
0,257,11824
0,258,12861
0,259,18249
0,260,13712
0,261,10750
0,262,12065
0,263,13380
0,264,13379
0,265,14416
0,266,11583
0,267,14120
0,268,12657
0,269,10935
0,270,11843
0,271,13842
0,272,11101
0,273,13787
0,274,12434
0,275,10898
0,276,20731
0,277,25250
0,278,15064
0,279,13416
0,280,12528
0,281,15657
0,282,35916
0,283,33545
0,284,26250
0,285,21139
0,286,14046
0,287,13898
0,288,11028
0,289,13638
0,290,13175
0,291,13546
0,292,13880
0,293,14972
0,294,16527
0,295,24564
0,296,23454
0,297,11546
0,298,29823
0,299,28306
0,300,33305
0,301,21268
0,302,15453
0,303,10879
0,304,12935
0,305,13786
0,306,16101
0,307,12768
0,308,13842
0,309,16491
0,310,13120
0,311,15231
0,312,16676
0,313,12731
0,314,19731
0,315,20546
0,316,39805
0,317,22712
0,318,12305
0,319,12231
0,320,13027
0,321,13102
0,322,12416
0,323,19954
0,324,26212
0,325,18768
0,326,11287
0,327,12731
0,328,11361
0,329,19712
0,330,18268
0,331,15953
0,332,11194
0,333,13768
0,334,13843
0,335,12139
0,336,12046
0,337,14787
0,338,13324
0,339,17398
0,340,14286
0,341,11139
0,342,15083
0,343,12879
0,344,12287
0,345,15324
0,346,15694
0,347,18416
0,348,14972
0,349,38046
0,350,25898
0,351,16416
0,352,16676
0,353,11490
0,354,27731
0,355,35620
0,356,23342
0,357,17027
0,358,14343
0,359,19731
0,360,15157
0,361,13101
0,362,11490
0,363,11750
0,364,12287
0,365,23416
0,366,23880
0,367,14397
0,368,16286
0,369,14749
0,370,13213
0,371,23009
0,372,15286
0,373,10712
0,374,12546
0,375,13435
0,376,13564
0,377,18491
0,378,37065
0,379,19675
0,380,14935
0,381,14879
0,382,12842
0,383,13028
0,384,11657
