CPU,NUMERO_ITERACION,LATENCIA
0,0,33580
0,1,24894
0,2,23284
0,3,23579
0,4,23209
0,5,23283
0,6,23172
0,7,23135
0,8,23246
0,9,23117
0,10,24765
0,11,23432
0,12,23136
0,13,23265
0,14,23228
0,15,23283
0,16,23283
0,17,23209
0,18,23247
0,19,44117
0,20,23728
0,21,23283
0,22,23136
0,23,23062
0,24,23172
0,25,23209
0,26,23154
0,27,23080
0,28,23024
0,29,29913
0,30,28320
0,31,27765
0,32,27654
0,33,27468
0,34,27524
0,35,27468
0,36,27580
0,37,27728
0,38,27617
0,39,28469
0,40,27858
0,41,27710
0,42,27728
0,43,27728
0,44,27580
0,45,27746
0,46,27579
0,47,27728
0,48,27765
0,49,28414
0,50,27728
0,51,27802
0,52,27543
0,53,27654
0,54,27284
0,55,27691
0,56,27598
0,57,27654
0,58,31820
0,59,28376
0,60,27450
0,61,27580
0,62,27765
0,63,27710
0,64,27710
0,65,27654
0,66,27747
0,67,27524
0,68,31172
0,69,27839
0,70,27524
0,71,27802
0,72,27598
0,73,27598
0,74,27580
0,75,27616
0,76,27654
0,77,27636
0,78,27914
0,79,27783
0,80,27691
0,81,27728
0,82,27617
0,83,27599
0,84,27691
0,85,27820
0,86,40005
0,87,33746
0,88,28339
0,89,27487
0,90,22690
0,91,24561
0,92,22728
0,93,22302
0,94,22321
0,95,22191
0,96,22098
0,97,23783
0,98,22358
0,99,22024
0,100,21987
0,101,22321
0,102,21784
0,103,22488
0,104,22691
0,105,22469
0,106,22191
0,107,25320
0,108,22339
0,109,22135
0,110,22099
0,111,22283
0,112,22080
0,113,22136
0,114,21968
0,115,22043
0,116,22024
0,117,22321
0,118,22024
0,119,22117
0,120,21987
0,121,22061
0,122,22024
0,123,21969
0,124,21931
0,125,22080
0,126,22599
0,127,22190
0,128,22154
0,129,22061
0,130,22117
0,131,22191
0,132,22079
0,133,22098
0,134,22025
0,135,22228
0,136,23043
0,137,22154
0,138,21932
0,139,22284
0,140,22080
0,141,22321
0,142,22617
0,143,22080
0,144,22172
0,145,22321
0,146,23394
0,147,22043
0,148,22079
0,149,22191
0,150,22191
0,151,21987
0,152,22117
0,153,22173
0,154,22116
0,155,22061
0,156,22357
0,157,22172
0,158,22080
0,159,22136
0,160,22191
0,161,22209
0,162,22136
0,163,22098
0,164,22135
